entity,norm,WHAT-GEN,WHY,WHAT-SYMPTOM,HOW-CURE,link
PARONYCHIA,조갑주위염,"손·발톱 주변의 피부 주름이 감염되는 것을 말합니다.

생활습관 : 물에 손을 자주 담그는 것이 위험 요인이다.
연령, 성별, 유전 : 주요 위험 요인이 아니다.
#
손·발톱 주위의 피부 주름이 감염되는 것을 조갑 주위염이라 한다. 조갑 주위염은 기저질환에 따라 급속히 또는 수개월에 걸쳐 진행되며 통증과 종창을 일으킨다.",급성 조갑 주위염은 피부 손상으로 인해 손·발톱 주위에 세균이 감염되기 때문에 발생합니다. 만성 조갑 주위염은 지속적으로 물을 만지는 요리사들에게 많이 발생합니다. #손·발톱 주위의 피부가 손·발톱에서 박리되면서 주로 곰팡이류에 의해 침입을 받는다. 또한 세균의 이차 감염에 의해 급성 조갑 주위염으로 진행될 수도 있다. 당뇨병 환자처럼 감염에 대한 저항력이 떨어진 환자들에게 잘 생긴다.,"대개 급성 조갑 주위염의 증상은 24시간 내에 발생하며 다음과 같은 증상이 나타납니다.

* 손·발톱 주위의 주름에 통증과 종창이 생긴다.
* 손·발톱 주위에 농이 발생한다.
#
만약 조갑 주위염을 치료하지 않고 방치하면 손·발톱 박리를 가져오며, 결국은 손톱이나 발톱이 빠진다. 만성 조갑 주위염의 증상은 몇 개월에 걸쳐 발생한다. 주로 종창과 불편감이 생길 수 있지만 농은 형성되지 않는다. 손상된 손·발톱은 다소 두꺼워지며 수평으로 능과 같은 부분이 생기고 갈색으로 변한다.","급성 조갑 주위염에는 경구 항생제를 처방합니다. 심할 경우에는 국소마취 후에 배농할 수도 있습니다. #만성 조갑 주위염은 항진균제를 포함하는 일반 의약품으로 치료할 수 있으나, 만약 이차 감염이 있으면 항진균제나 항생제를 처방할 것이다. 만성 조갑 주위염을 예방하기 위해서는 손을 씻고 난 후 완전히 말려야 하며, 안쪽에 면을 댄 고무장갑을 사용해야 한다.",http://www.snuh.org/health/encyclo/view/6/6/7.do
PHOTOSENSITIVE,광과민성,"자외선에 대한 피부의 과민 반응을 말합니다.

연령, 성별, 유전, 생활습관 : 주요 위험 요인이 아니다.
#
광과민성이란 태양광선 중 자외선에 대한 피부의 비정상적인 반응으로, 태어나면서부터 생길 수도 있고 나이가 든 후에 발생하기도 한다. 테트라사이클린계, 이뇨제, 경구 피임제 같은 약제, 특정 화장품 등 여러가지 물질들이 광과민성을 유발한다. 때로는 전신성 홍반성 낭창 환자에게 발생하기도 한다. 특정한 원인이 없는 경우를 1차성 광과민성이라고 한다.","광과민성이란 태양광선 중 자외선에 대한 피부의 비정상적인 반응으로, 태어나면서부터 생길 수도 있고 나이가 든 후에 발생하기도 합니다.#","얼굴이나 손과 같이 주로 태양광선에 자주 노출되는 부위에 발생합니다. 노출 후 곧 발생하지만 24-48시간 후에 나타나기도 합니다.

* 적색의 통증을 동반한 발진이 나타난다.
* 작고 가려운 수포들이 생긴다.
* 인설성 피부
#
후반기에는 손톱이 손톱 바닥에서 들뜰 수도 있다. 때때로 노출된 모든 피부가 벌겋게 될 수도 있다. 심한 경우에는 외출이 불가능한 경우도 있다.","피부 상태만 보고도 진단이 가능합니다. 특정 약제에 의한 것으로 생각될 때에는 다른 약으로 대체해줄 것입니다. 기저질환을 확인하기 위해 혈액검사가 필요할 수도 있습니다. #증상을 호전시키기 위해 국소적 스테로이드제, 경구 항히스타민제를 사용할 수도 있다.

심한 경우에는 피부를 탈감작시키기 위해 자외선 노출 치료를 하고, 약물치료와 병행하기도 한다. 외출시에는 모자를 쓰거나 피부차단제를 사용하는 등, 가능하면 태양광선에 노출되지 않는 것이 좋다.",http://www.snuh.org/health/encyclo/view/6/2/10.do
PILONIDAL-SINUS,모소동,"엉덩이 상부 붕앙에 움푹 패인 공간이 생긴 것으로 종종 털이 자라나기도 합니다.

연령 : 젊은이들에게 흔하다.
성별 : 남성에게 흔하다.
유전, 생활습관 : 주요 위험 요인이 아니다.
#
모소동은 양쪽 엉덩이 사이 위쪽의 피부 밑에 위치하는 작은 함몰된 공간으로, 태어날 때부터 그 부분에 발달장애가 있는 것으로 생각된다. 이곳에 나는 체모는 안쪽을 향해 성장하며 이는 염증을 일으킬 수 있으므로 통증이 있는 농양을 형성하게 된다. 감염의 징후를 보이면 농양이 생기는 것을 막기 위해 즉각적인 대처가 필요하다. 따뜻한 물에 담그면 불편감을 해소할 수 있다. 의사와 상담하여 항생제를 복용하고, 만약 농이 형성되면 전신마취하에 농을 빼내고 치유될 때까지 열어놓아야 한다.","모소동은 양쪽 엉덩이 사이 위쪽의 피부 밑에 위치하는 작은 함몰된 공간으로, 태어날 때부터 그 부분에 발달장애가 있는 것으로 생각됩니다#",엉덩이 상부 붕앙에 움푹 패인 공간이 생긴 것으로 종종 털이 자랍니다.#,"따뜻한 물에 담그면 불편감을 해소할 수 있습니다. 의사와 상담하여 항생제를 복용하고, 만약 농이 형성되면 전신마취하에 농을 빼내고 치유될 때까지 열어놓아야 합니다.#",http://www.snuh.org/health/encyclo/view/6/6/5.do
PITYRIASIS-ROSEA,장미색 잔비늘증,"분홍빛의 계란 모양이며, 주로 몸통과 사지에 발생하는 편평한 반점을 말합니다.

연령 : 주로 젊은 성인들에게 많이 발생한다.
성별, 유전, 생활습관 : 주요 위험 요인이 아니다.
#
장미색 비강진은 분홍빛의 발진으로, 젊은 성인들에게 많이 생긴다. 주로 몸통, 팔, 허벅지에 발생하며 드물게는 발, 손, 두피에도 발생한다. 바이러스 감염이 원인으로 추정된다.",바이러스 감염이 원인으로 추정됩니다.#,"보통 다음과 같은 순서로 발생합니다.

* 원발반이라 불리는, 지름 2-6cm 정도의 계란 모양 발진이 나타나는데 반점은 백선과
  비슷하다.
* 3-10일 후 많은 수의 1-2cm 크기의 계란 모양의 편평한 분홍색 반점이 생기고, 발진은
  체간에서 복부, 허벅지, 상지, 목 부위로 퍼져나가며 등의 반점은 크리스마스 트리 모양과
  비슷하며 피부의 할선과 일치한다.
* 일주일 후에 반점 주위로 인설성 경계가 나타난다.
#
가려움증이 생길 수 있다. 건선이나 습진과 구별하려면 의사의 진찰을 받는 것이 중요하다.",모양이 특징적이므로 쉽게 진단됩니다. 대개는 치료를 하지 않아도 6-8주 후에 없어지며 재발할 가능성은 적습니다.#,http://www.snuh.org/health/encyclo/view/6/2/9.do
PSORIASIS,건선,"피부가 부분적으로 붉어지면서 두꺼워지고 인설이 생기는 질환을 말합니다.

유전 : 때로 가족력을 보인다.
생활 습관 : 스트레스를 받으면 심해질 수 있다.
연령 : 유형에 따라 위험 요인이 될 수 있다.
성별 : 남녀간 차이가 없다.
#
건선은 서유럽, 호주, 남아메리카, 일부 아시아 국가와 아프리카에서 흔한 피부질환이다. 여러 종류가 있고 대부분 치료가 어려우며 일생을 통해 여러 차례 재발한다. 두껍고 인설(은백색의 돌비늘처럼 보이는 각층)이 있으며 붉은색 피부 병변이 모든 건선에서 나타난다. 병변 부위가 항상 가려운 것은 아니지만, 전신의 여러 부위에 생기는 경우 신체적 불쾌감 외에도 사회활동에 지장을 줄 수 있다.

병변 부위에서는 사멸한 세포가 떨어져나가는 것보다 새로운 피부세포들이 더 빠르게 재생하여 피부가 두터워진다. 건선의 원인은 알려지지 않았으나 감염, 손상, 스트레스에 의해 심해질 수 있다. 일부 유전적인 성향을 보이는 것으로 보아 유전 요인이 관여하는 것으로 생각된다. 건선 환자 가운데 약 1/3이 가까운 친척 중에 같은 질환을 앓고 있다. 항우울제, 고혈압 치료제, 베타 차단제 때문에 건선이 유발되는 경우도 있다.","어린이와 청소년들의 경우 세균성 인후 감염 후에 발생합니다. 갑자기 성인들에게 발병하며, 노인에게 쉽게 생깁니다#","가장 흔한 형태로 어떤 연령에서나 발생할 수 있으며, 다음의 증상이 나타납니다.
* 판이라고 불리는, 표면에 인설이 있는 두꺼운 홍반이 나타난다. 이 판은 주로 팔꿈치, 무릎,   등의 아래쪽, 두피, 귀 뒤, 머리선 등에 잘 나타나며 때로는 오래된 흉터에서도 발생한다.
* 가려움증이 간헐적으로 나타난다.
* 손톱에 작은 구멍이 생기며 변색된다. 심한 경우에는 손톱이 손톱 바닥으로부터 들뜬다.
* 판형 건선의 증상은 수주에서 수개월간 지속되며 간헐적으로 재발하기도 한다.
#","피부 상태를 검진한 후 건선의 유형을 진단하여 치료하게 됩니다.
<국소 요법>
주로 피부완화제와 차단제로 건선을 치료한다.
다른 방법으로 비타민D 유도체인 칼시포트리올을 국소적으로 사용할 수 있다.

<전신 요법>
국소적 치료에 반응하지 않는 광범위한 부위의 건선에 대해서는 치료적 자외선요법이 종종 효과를 나타낸다.
정기적으로 적은 양의 태양광선을 쬐는 것도 건선을 치료하는 데 도움이 된다. 
#

매우 심한 농포성 건선의 경우, 국소 요법이 효과가 없을 때는 경구약 또는 정맥주사제로 레티노이드 약물, 메토트렉세이트, 사이클로스포린 등을 투여하는 방법을 사용하기도 한다. ",http://www.snuh.org/health/encyclo/view/6/2/1.do
PURPURA,자반증,"적자색의 반점이 피부에 나타나는 증상을 말합니다.

연령, 성별, 유전, 생활습관 : 원인에 따라 위험 요인이 달라진다.
#
적자색의 반점 또는 멍든 것 같은 변색이 피부에 발생하는 것이 자반증이다. 이는 피부 밑에서 출혈이 있는 것으로, 혈관이 손상받거나 혈액 자체가 비정상적일 때 생긴다. 반점의 형태는 다양하며, 크기도 머리핀 정도부터 약 2.5cm까지 다양하다. 다른 적색 발진들과는 달리 자반은 눌러도 희미해지거나 없어지지 않는다. 자반 자체가 해로운 것은 아니나 때로는 심각한 기저질환이 있음을 알려주는 표시일 수 있으므로 유의해야 한다.",노인성 자반증은 피부 밑에서 혈관을 지탱하는 조직들이 약해져서 쉽게 손상을 받아 출혈을 일으켜 발생합니다. 이 혈소판 감소증은 백혈병과 같은 여러 골수 질환 또는 자가면역 질환과 연관됩니다. #또한 이뇨제나 항생제 등 일부 약제에 의한 부작용으로도 발생할 수 있다. 혈액 내 세균 감염이 심할 때 나타날 수 있다.,"손등과 팔등, 허벅지에 어두운 멍이 나타납니다. 노인성 자반증은 피부 밑에서 혈관을 지탱하는 조직들이 약해져서 쉽게 손상을 받아 출혈을 일으켜 발생합니다. 매우 작은 자반성 병변들이 생깁니다. #뇌수막구균에 의해 피부에 자반이 나타날 수 있으므로 발열이 자반과 동반될 경우에는 빨리 병원에 가야 한다. 드문 유형으로 헤노흐-쉔라인 자반증이 있다. 이것은 어린이들에게 주로 발생하며 소혈관의 혈관염이 원인이다. 이런 경우의 자반은 작고 볼록 솟아오르는 형태를 보인다.
","노인성 자반증은 멍든 것 같은 반점 모양으로 진단할 수 있습니다. 이는 특별히 병적인 상태는 아니므로 치료할 필요가 없습니다. #자반은 점차 없어지지만 다시 발생하기 쉽다. 뇌수막염과 같은 분명한 기저질환이 있을 경우에는 치료를 받아야 하지만, 자반의 원인이 분명치 않으면 혈소판 수치나 응고 상태를 살펴보기 위해 혈액검사가 필요할 수도 있다. 혈액검사 결과가 비정상적이면 담당의사는 좀더 자세한 정밀 검사를 위하여 그 분야의 전문가에게 의뢰할 수도 있다. 혈소판 수치가 너무 낮으면 뇌출혈과 같은 심한 내부 출혈이 발생할 수 있으므로 이를 예방하기 위하여 혈소판 수혈이 필요한 경우도 있다. 원인질환이 치료되면 자반증도 사라질 수 있다. 자반증이 자가면역 질환 때문에 나타난 것이라면 스테로이드제(면역억제제)를 처방한다.",http://www.snuh.org/health/encyclo/view/6/2/13.do
RINGWORM,백선,"가렵고 붉은 빛을 띠는 병변이 주로 두피에 둥근 모양으로 나타난다. 곰팡이 감염에 의해 발생합니다.

성별, 연령, 생활습관 : 종류에 따라 위험 요인이 달라진다.
유전 : 주요 위험 요인이 아니다.
#
백선은 곰팡이에 의해 발생하는데, 가렵고 붉은 빛을 띠며 원형으로 생긴 반이다. 생기는 부위에 따라 체부 백선, 두부 백선, 음부 백선으로 나눌 수 있다. 두부 백선은 어린이들에게 흔하며 주위 사람들에게 옮길 수 있고, 개나 고양이 같은 동물에 의해서도 전염될 수 있다. 음부 백선은 주로 남성들에게 생기는데 특히 무좀이 있는 사람에게 흔하다.모든  종류의 백선은 당뇨병이나 후천성 면역결핍 증후군 환자 등 면역력이 떨어진 사람들에게 흔하다.","백선은 곰팡이에 의해 발생하는데, 가렵고 붉은 빛을 띠며 원형으로 생긴 반입니다. 모든  종류의 백선은 당뇨병이나 후천성 면역결핍 증후군 환자 등 면역력이 떨어진 사람들에게 흔합니다. 어린이들에게 흔하며 주위 사람들에게 옮길 수 있고, 개나 고양이 같은 동물에 의해서도 전염될 수 있습니다. #백선은 곰팡이에 의해 발생하는데, 가렵고 붉은 빛을 띠며 원형으로 생긴 반이다. 모든  종류의 백선은 당뇨병이나 후천성 면역결핍 증후군 환자 등 면역력이 떨어진 사람들에게 흔하다. 주로 남성들에게 생기는데 특히 무좀이 있는 사람에게 흔하다.모든 종류의 백선은 당뇨병이나 후천성 면역결핍 증후군 환자 등 면역력이 떨어진 사람들에게 흔하다. 백선은 곰팡이에 의해 발생하는데, 가렵고 붉은 빛을 띠며 원형으로 생긴 반이다. 모든  종류의 백선은 당뇨병이나 후천성 면역결핍 증후군 환자 등 면역력이 떨어진 사람들에게 흔하다.","다음과 같은 증상이 며칠에서 몇 주에 걸쳐 나타납니다.

* 먼저 작은 원형의 인설을 동반한 홍반성 반이 나타난다.
* 1-2주가 지나면 반이 더 생긴다.
* 홍반성 반은 점점 커져서 정상적인 중앙 부위 주변으로 인설을 동반한 반지 모양의 반으로 변한다.
#
두피 백선이 있는 경우에는 머리카락이 모근 근처에서 부러져 불규칙한 모양의 탈모를 형성하며(탈모증) 서혜부 백선인 경우에는 허벅지와 엉덩이 피부로 확산된다.","의사는 모양을 보고 진단하거나, 피부를 긁어서 생긴 인설을 현미경으로 관찰하여 곰팡이 때문인지를 확인할 수도 있습니다. 국소 도포용 항진균제로 치료를 하며 두부 백선인 경우나 병변이 광범위할 경우엔 경구용 항진균제를 복용합니다. #치료 기간은 보통 수주 이상이 소요된다. 음부 백선이 재발되는 것을 막으려면 음부를 청결하고 건조하게 유지해야 한다.",http://www.snuh.org/health/encyclo/view/6/4/5.do
ROSACEA,주사,"이마와 뺨에 만성적으로 발생하는 홍조, 발진을 말합니다.

연령 : 30-55세 사이에 많이 나타난다.
성별 : 여성에게 흔하다.
유전 : 종종 가족력을 보인다.
생활습관 : 음주, 커피, 자극성 음식을 섭취하면 악화된다.
#
안면 중앙부에 발진이 발생하며 때로 소양증이나 화끈거리는 증상이 나타난다. 원인은 확실히 밝혀지지 않았지만 종종 가족적으로 발생하는 것으로 보아 유전 요인이 일부 관여한다고 알려져 있다. 30-55세 사이의 여성에게 잘 나타난다. 발진은 자극성 음식, 알코올, 커피를 먹거나 더운 방에 들어가면 악화된다.","원인은 확실히 밝혀지지 않았지만 종종 가족적으로 발생하는 것으로 보아 유전 요인이 일부 관여한다고 알려져 있습니다. #30-55세 사이의 여성에게 잘 나타난다. 발진은 자극성 음식, 알코올, 커피를 먹거나 더운 방에 들어가면 악화된다.","주사의 첫 증상은 대개 안면 홍조인데 악화 요인에 노출된 후 뺨과 이마에 나타납니다. 나중에는 발진이 생기는데 처음에는 간헐적으로 나타나다가 점점 영구적으로 된다. 다른 증상은 다음과 같습니다.

* 피부가 붉고 푸석푸석하다.
* 희거나 노란 구진이 생긴다.
* 작은 혈관이 보인다.
* 병변 부위에 소양증과 화끈거림이 나타난다.
#
만약 코에 주사가 생기면 두꺼워지고 부풀어오르며 적자주색을 띠는데 이를 비류라고 한다. 이는 장년 남성들에게 많이 발생한다. 환자의 약 25% 정도에서는 결막염 증상이 나타난다.","주사를 악화시킬 수 있는 요인들, 즉 자극성 음식, 알코올, 커피, 햇빛, 국소적 스테로이드제의 사용 등을 피해야 합니다.

국소 치료제로는 메트로니다졸 젤, 국소 항생제가 많이 쓰입니다. 국소 치료제로 호전되지 않으면 경구 항생제인 테트라사이클린이나 경구 레티노이드 약물이 사용됩니다. 보통 치료 효과가 나타나려면 몇 주 정도 걸립니다.
#
비류가 발생하면 수술 요법이나 박피술 등이 필요하다. 주사는 대개 수년간 지속되며 남성들은 평생 지속되기도 한다.",http://www.snuh.org/health/encyclo/view/6/3/2.do
SCABIES,옴,"진드기에 의해 발생하는 피부병의 일종을 말합니다.

연령 : 대개 어린이나 젊은이들에게 생긴다.
생활습관 : 대개 밀집해서 거주할 경우 위험 요인이 된다.
성별, 유전 : 주요 위험 요인이 아니다.
#
옴은 진드기가 피부의 바깥층에 수도를 파서 그곳에 알을 낳기 때문에 생기는 병이다. 몇 주 동안 증상이 없다가 유충이 부화하고 진드기로 자라면 피부는 진드기 배설물에 민감해지고 심한 가려움증이 나타나게 된다. 특히 어린이나 젊은이들에게 잘 생기는 것으로 알려져 있다. 옴은 전염력이 강하여 밀접한 접촉에 의해서도 전파되며, 사람들이 많이 모여 사는 곳에서 주로 잘 전파된다. 그리고 오랫동안 손을 잡거나 성접촉에 의해서도 나타날 수 있다.","옴은 진드기가 피부의 바깥층에 수도를 파서 그곳에 알을 낳기 때문에 생기는 병입니다. 몇 주 동안 증상이 없다가 유충이 부화하고 진드기로 자라면 피부는 진드기 배설물에 민감해지고 심한 가려움증이 나타나게 됩니다. #특히 어린이나 젊은이들에게 잘 생기는 것으로 알려져 있다. 옴은 전염력이 강하여 밀접한 접촉에 의해서도 전파되며, 사람들이 많이 모여 사는 곳에서 주로 잘 전파된다. 그리고 오랫동안 손을 잡거나 성접촉에 의해서도 나타날 수 있다.","감염 후 4-6주경에 증상이 나타납니다.

* 약간 융기되고 지름이 약 1cm 정도 되는, 핑크빛 또는 붉은색의 점이 생긴다.
* 특히 밤에 무척 가렵다.
* 손가락이나 발가락 사이에 수도라는 갈색의 선상 병변이 나타난다.
#
가려움은 피부발진이 나타나기 전에 생길 수 있으며 피부발진이 다 사라진 후에도 3주 정도 지속될 수 있다.","옴은 발진의 모양을 보고 진단하며, 피부를 긁어 현미경으로 확인합니다. 치료는 목 이하의 전신에 항기생충 로션을 바른 후 8-24시간 이내에 씻어내는 방법을 이용합니다. #가려움증을 줄이기 위해 국소적 스테로이드제를 사용할 수도 있다. 환자와 밀접하게 접촉한 사람도 함께 치료한다.",http://www.snuh.org/health/encyclo/view/6/4/11.do
SEBORRHEIC-DERMATITIS,지루성 피부염,"주로 두피, 얼굴, 가슴에 나타나는, 가려움증을 동반한 적색의 인설이 있는 피부 병변을 말합니다.

생활습관 : 스트레스에 의해 유발될 수 있다.
연령, 성별, 유전 : 주요 위험 요인이 아니다.
#
지루성 피부염은 유아와 성인들에게 흔히 발생하는 발진이다. 유아에서는 두피 또는 기저귀를 찬 부위에 발진이 생길 수 있고 성인들에겐 얼굴의 중심부, 눈썹 부위, 두피 등에 발생하여 피부에 비듬을 유발한다. 지루성 피부염은 겨드랑이, 사타구니, 또는 가슴에도 발생할 수 있다. 원인은 알려지지 않았으나, 피부의 표면에 살고 있는 진균 같은 생물의 과성장과 관련이 있는 것으로 나타나 있다. 접촉성 피부염은 스트레스나 질병에 의해 재발되거나 심해질 수 있다.","지루성 피부염의 원인은 아직 확실하지 않습니다. 유전적 요인, 가족력, 음식물, 곰팡이균의 활동, 세균 감염, 호르몬의 영향, 정신적 긴장 등 여러 요인이 작용하는 것으로 추측하고 있습니다.#","지루성 피부염은 다음과 같은 증상이 나타납니다.
* 인설성, 염증성 적색 반점이 나타난다. 때로는 노란 딱지가 앉는다.
* 눈꺼풀이 아프고 빨갛게 변하며 딱지가 있다(안검염).
* 비듬이 많이 생긴다.
* 종종 가려움증이 나타난다.
#
발진은 간헐적으로 수개월 또는 수년 만에 악화되기도 한다.",진균이 과다 성장한 경우에는 국소적 스테로이드제 또는 항진균제를 처방합니다. 그리고 두피에 지루성 피부염이 발생한 경우에는 항진균제 샴푸나 코울타르 샴푸를 사용합니다.#,http://www.snuh.org/health/encyclo/view/6/2/5.do
SEBORRHEIC-KERATOSIS,지루 각화증,"해롭지 않은 색소성의 사마귀 같은 병변을 말합니다.

연령 : 나이가 많을수록 증가한다.
성별, 유전, 생활습관 : 특별한 연관 인자가 없다.
#
지루각화증은 갈색이나 검정색의 해롭지 않은 피부 종양이다. 주로 몸통에 생기지만 머리와 목, 손등이나 전완부에도 발생한다. 노령층에 흔하며, 한 개 또는 무리지어 발생할 수 있다.","아직까지 지루각화증의 정확한 원인은 알 수 없으나 자외선, 유전, 노화, 스트레스 등과 관련이 크다고 알려져 있고 특히 자외선과 노화가 연관성이 가장 많다고 알려져 있습니다.#","가피가 있는 반으로, 가피는 피부에 달라붙어 있는 느낌이 드는 특징을 보입다. 그리고 대개 다음과 같은 특징을 보입니다.

* 통증은 없지만 가려울 수 있다.
* 2cm 정도까지 커질 수 있다.
* 표면이 기름지고 거칠다.
* 갈색 또는 검정색을 띤다.
* 융기되어 있거나 편평하다.
#
드물게는 수백 개의 병변이 생길 수 있다.","우선 의사와 상의해서 심각한 병변이 아닌지 알아봐야 합니다. 만약 지루각화증이라면 냉동 치료, 절제, 소작술 등으로 제거할 수 있습니다. 이런 치료는 상처나 흉터를 거의 남기지 않습니다. 잘 재발하지는 않지만 감수성이 있는 환자는 새로운 병변이 신체의 다른 부위에 생길 수 있습니다. 병변은 2cm 정도까지 커질 수 있습니다.#",http://www.snuh.org/health/encyclo/view/6/3/17.do
SKIN-CANCER,피부암,"대부분 햇빛에 오래 노출되는 것과 관련이 있습니다.

유전 : 피부색이 옅은 경우에는 더 위험할 수 있다.
생활습관 : 햇빛에 노출되는 것이 위험 요인이다.
연령, 성별 : 유형에 따라 위험 요인이 달라진다.
#
우리나라에서는 피부암이 그리 흔하지는 않지만, 미국에서 가장 흔한 암이다. 최근에는 전세계적으로 발생 빈도가 증가하고 있으며 피부암이 발견된 환자만 해도 수백만 명에 이른다.

대개의 피부암 원인은 해로운 자외선에 오랫동안 노출되는 것이다. 햇빛에 많이 노출되거나 적도 부근에 살거나 하면 피부암에 걸릴 위험이 더 증가한다. 최근 들어 피부암 발생 빈도가 늘어나고 있는 것은 해로운 자외선에 대해 보호막 역할을 하던 오존층이 파괴되었기 때문인 것으로 보인다. 바깥 활동이 많거나 어린 시절 햇빛에 화상을 입은 적이 있으면 피부암에 걸릴 위험이 크다.

또 피부색을 결정하고 해로운 자외선으로부터 피부를 보호해주는 멜라닌 색소의 농도가 낮은 흰색 피부도 마찬가지이다. 햇빛 노출을 자제하여(햇빛으로부터의 안전) 피부암의 위험을 줄이고, 정기적으로 등이나 두피의 피부도 관찰하는 것이 좋다.",대개의 피부암 원인은 해로운 자외선에 오랫동안 노출되는 것입니다. 햇빛에 많이 노출되거나 적도 부근에 살거나 하면 피부암에 걸릴 위험이 더 증가합니다. #최근 들어 피부암 발생 빈도가 늘어나고 있는 것은 해로운 자외선에 대해 보호막 역할을 하던 오존층이 파괴되었기 때문인 것으로 보인다. 바깥 활동이 많거나 어린 시절 햇빛에 화상을 입은 적이 있으면 피부암에 걸릴 위험이 크다.,"피부암은 다음과 같은 증상을 보입니다.
* 작고 통증이 없는 병변으로, 혈관이 분포된 부드러운 표면이 있다. 핑크색 내지 회갈색을
  띠며, 표면이 진주처럼 약간 윤기가 나면서 매끈하다.
* 멍울이 서서히 커지며 중앙 부위는 약간 함몰되고 경계 부위는 말려 있는 것처럼 보인다.
* 치료를 하지 않으면 궤양이 생길 수 있으며 가끔씩 출혈이 유발될 수 있다.#","피부암은 일찍 진단하면 완치가 가능합니다. 잘 낫지 않고 크기가 점점 커지는 피부 병변이 있을 때는 빨리 의사에게 진찰을 받고, 필요하면 피부조직 검사를 해야 합니다. #조직 검사는 병변의 피부를 조금 떼어내 현미경으로 세포를 관찰하는 것이다. 피부암의 종류와 침범 정도에 따라 치료 방법과 예후가 결정된다. 어떤 경우는 침범된 피부만 치료하면 낫는 수도 있다. 대개의 피부암은 외과적으로 절제를 해야 하며 피부암이 넓은 부위를 침범한 경우엔 피부이식이 필요할 수도 있다. 피부 외의 다른 부위로 퍼진 경우에는 방사선 치료나 항암 화학요법이 필요할 수도 있다.",http://www.snuh.org/health/encyclo/view/6/3/8.do
SKIN-TAG,쥐젖,"목, 겨드랑이, 몸통에 줄기처럼 매달려 있는 혹을 말합니다.

연령 : 나이가 많을수록 증가한다.
생활습관 : 과체중이 위험 요인이다.
성별, 유전 : 특별한 연관 인자가 없다.
#
쥐젖은 작은 피부 종양으로 피부에 매달려 있으며, 주변 피부보다 진한 경우가 많다. 대부분 자연적으로 발생하나 완전히 치유되지 않은 상처 때문에 발생할 수도 있다. 쥐젖은 신체 어느 부위에나 발생할 수 있지만 목, 몸통, 사타구니, 겨드랑이 등에 주로 생긴다. 대부분 몸에는 해롭지 않으나 옷 등에 자극될 경우 피가 나거나 아플 수 있다. 나이가 많거나 비만인 경우에는 쥐젖이 생기기 쉽다. 만약 쥐젖을 없애고 싶거나 옷에 스쳐 아플 때에는 의사와 상담하여 국소마취 후 제거한다.",대부분 자연적으로 발생하나 완전히 치유되지 않은 상처 때문에 발생할 수도 있습니다. 나이가 많거나 비만인 경우에는 쥐젖이 생기기 쉽습니다.#,"쥐젖은 작은 피부 종양으로 피부에 매달려 있으며, 주변 피부보다 진한 경우가 많습니다. #",만약 쥐젖을 없애고 싶거나 옷에 스쳐 아플 때에는 의사와 상담하여 국소마취 후 제거합니다.#,http://www.snuh.org/health/encyclo/view/6/3/16.do
TINEA-VERSICOLOR,어루러기,"발에 생기는 곰팡이 감염을 말합니다.

연령 : 젊은이들에게 흔하다.
생활습관 : 오랜 시간 통풍이 안 되는 양말을 신을 경우에 잘 생긴다.
성별, 유전 : 주요 위험 요인이 아니다.
#
무좀은 발가락 사이에 많이 발생하는 진균 감염으로, 따뜻하고 습한 곳에서 사는 일부 곰팡이에 의해 생긴다. 무좀은 땀을 많이 흘리고 꼭 끼는 신발을 오래 신고 있는 젊은이들에게 흔하다. 어린이들에겐 드물다. 탈의실이나 수영장을 맨발로 다니는 것으로도 옮을 수 있다.",따뜻하고 습한 곳에서 사는 일부 곰팡이에 의해 생깁니다. 무좀은 땀을 많이 흘리고 꼭 끼는 신발을 오래 신고 있는 젊은이들에게 흔합니다. 어린이들에겐 드뭅니다. #탈의실이나 수영장을 맨발로 다니는 것으로도 옮을 수 있다.,"유일한 증상은 통증 없는 갈색의 반이 목, 가슴, 어깨 등에 나타나는 것입니다. 이 반은 다음과 같은 특성을 보입니다.

* 크기는 다양하며, 모양은 원형으로 편평하게 생겼고 경계가 뚜렷하다.
* 분홍빛을 띤 갈색으로 주변 피부가 햇빛에 그을리면 더 뚜렷해진다. 갈색 피부에서는 옅은 색을 띠며 외부에서는 짙게 착색되기도 한다.
#
치료를 하지 않고 그대로 두면 반이 점점 퍼져서 계속 남아 있게 된다.","육안으로 쉽게 진단할 수 있으며, 때로 피부를 긁어서 생긴 인설을 현미경으로 관찰하여 곰팡이를 확인할 수도 있습니다. 치료는 세레니움 설파이드가 들어 있는 샴푸로 씻어내거나 항진균제를 바르는 것입니다. #치료를 철저히 하면 보통 2-3주 내에 회복되지만, 피부가 정상 색깔로 돌아오는 데는 몇 주가 더 걸린다. 샴푸를 바르지 않은 부위가 있으면 재발한다.",http://www.snuh.org/health/encyclo/view/6/4/7.do
